slot	attribute	old_val	new_val
abs_air_humidity	is_a	attribute	core field
add_recov_method	description	Additional (i.e. Secondary, tertiary, etc.) recovery methods deployed for increase of hydrocarbon recovery from resource and start date for each one of them. If 'other' is specified, please propose entry in 'additional info' field	"Additional (i.e. Secondary, tertiary, etc.) recovery methods deployed for increase of hydrocarbon recovery from resource and start date for each one of them. If ""other"" is specified, please propose entry in ""additional info"" field"
add_recov_method	is_a	attribute	core field
add_recov_method	range	text value	string
additional_info	is_a	attribute	core field
additional_info	range	text value	string
address	is_a	attribute	core field
address	range	text value	string
adj_room	is_a	attribute	core field
adj_room	range	text value	string
aero_struc	is_a	attribute	core field
aero_struc	range	text value	string
agrochem_addition	is_a	attribute	core field
agrochem_addition	multivalued	False	True
agrochem_addition	range	quantity value	string
air_temp	is_a	attribute	core field
air_temp_regm	is_a	attribute	core field
air_temp_regm	multivalued	False	True
air_temp_regm	range	quantity value	string
al_sat	is_a	attribute	core field
al_sat_meth	is_a	attribute	core field
al_sat_meth	range	text value	string
alkalinity	is_a	attribute	core field
alkalinity_method	is_a	attribute	core field
alkalinity_method	range	text value	string
alkyl_diethers	description	Concentration of alkyl diethers 	Concentration of alkyl diethers
alkyl_diethers	is_a	attribute	core field
alt	description	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earthbs surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air	Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air
alt	is_a	attribute	environment field
aminopept_act	is_a	attribute	core field
ammonium	is_a	attribute	core field
amount_light	is_a	attribute	core field
ances_data	is_a	attribute	core field
ances_data	range	text value	string
annual_precpt	is_a	attribute	core field
annual_temp	is_a	attribute	core field
antibiotic_regm	is_a	attribute	core field
antibiotic_regm	multivalued	False	True
antibiotic_regm	range	quantity value	string
api	description	API gravity is a measure of how heavy or light a petroleum liquid is compared to water (source: https://en.wikipedia.org/wiki/API_gravity) (e.g. 31.1B0 API) 	API gravity is a measure of how heavy or light a petroleum liquid is compared to water (source: https://en.wikipedia.org/wiki/API_gravity) (e.g. 31.1° API)
api	is_a	attribute	core field
arch_struc	is_a	attribute	core field
arch_struc	range	text value	arch_struc_enum
aromatics_pc	description	Saturate, Aromatic, Resin and AsphalteneB (SARA) is an analysis method that dividesB crude oilB components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)	Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)
aromatics_pc	is_a	attribute	core field
aromatics_pc	range	quantity value	string
asphaltenes_pc	description	Saturate, Aromatic, Resin and AsphalteneB (SARA) is an analysis method that dividesB crude oilB components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)	Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)
asphaltenes_pc	is_a	attribute	core field
asphaltenes_pc	range	quantity value	string
atmospheric_data	is_a	attribute	core field
atmospheric_data	multivalued	False	True
atmospheric_data	range	quantity value	string
avg_dew_point	is_a	attribute	core field
avg_occup	description	Daily average  occupancy of room	Daily average occupancy of room. Indicate the number of person(s) daily occupying the sampling room.
avg_occup	is_a	attribute	core field
avg_occup	range	text value	double
avg_temp	is_a	attribute	core field
bac_prod	is_a	attribute	core field
bac_resp	is_a	attribute	core field
bacteria_carb_prod	is_a	attribute	core field
barometric_press	is_a	attribute	core field
basin	is_a	attribute	core field
basin	range	text value	string
bathroom_count	is_a	attribute	core field
bathroom_count	range	text value	integer
bedroom_count	is_a	attribute	core field
bedroom_count	range	text value	integer
benzene	is_a	attribute	core field
biochem_oxygen_dem	is_a	attribute	core field
biocide	is_a	attribute	core field
biocide	range	text value	string
biocide_admin_method	is_a	attribute	core field
biocide_admin_method	range	quantity value	string
biol_stat	description	The level of genome modification	The level of genome modification.
biol_stat	is_a	attribute	core field
biol_stat	range	text value	biol_stat_enum
biomass	is_a	attribute	core field
biomass	multivalued	False	True
biomass	range	quantity value	string
biotic_regm	is_a	attribute	core field
biotic_regm	range	text value	string
biotic_relationship	is_a	attribute	nucleic acid sequence source field
biotic_relationship	range	text value	biotic_relationship_enum
bishomohopanol	description	Concentration of bishomohopanol 	Concentration of bishomohopanol
bishomohopanol	is_a	attribute	core field
bromide	description	Concentration of bromide 	Concentration of bromide
bromide	is_a	attribute	core field
build_docs	is_a	attribute	core field
build_docs	range	text value	build_docs_enum
build_occup_type	is_a	attribute	core field
build_occup_type	multivalued	False	True
build_occup_type	range	text value	build_occup_type_enum
building_setting	is_a	attribute	core field
building_setting	range	text value	building_setting_enum
built_struc_age	is_a	attribute	core field
built_struc_set	is_a	attribute	core field
built_struc_set	range	text value	string
built_struc_type	is_a	attribute	core field
built_struc_type	range	text value	string
calcium	is_a	attribute	core field
carb_dioxide	is_a	attribute	core field
carb_monoxide	is_a	attribute	core field
carb_nitro_ratio	is_a	attribute	core field
ceil_area	is_a	attribute	core field
ceil_cond	is_a	attribute	core field
ceil_cond	range	text value	ceil_cond_enum
ceil_finish_mat	is_a	attribute	core field
ceil_finish_mat	range	text value	ceil_finish_mat_enum
ceil_struc	is_a	attribute	core field
ceil_struc	range	text value	string
ceil_texture	is_a	attribute	core field
ceil_texture	range	text value	ceil_texture_enum
