subject_id	subject_label	subject_category	subject_description	object_id	object_label	object_source	predicate_id	mapping_justification	confidence	comment
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C64389	Genomic Feature Physical Location	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.8267	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C54670	Gene Feature Physical Location	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.8042	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	EDAM:format_2159	Gene features (coding region) format	EDAM	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7861	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C93020	Whole Genome Association Study	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7810	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	mesh:D055106	Genome-Wide Association Study	MESH	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7779	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C181181	CDISC SDTM Genomic Findings Analytical Method Calculation Formula Terminology	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7711	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C181320	Genomics Findings Domain	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7708	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C40342	Gene Physical Location	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7693	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C181180	CDISC SDTM Genomic Findings Test Detail Terminology	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7693	
nmdc:GenomeFeature	GenomeFeature	class	A feature localized to an interval along a genome	NCIT:C184761	Genome Variation Format	NCIT	skos:closeMatch	semapv:SemanticSimilarityThresholdMatching	0.7692	
